	has_enum_range	has_preferred_unit	name_components	quantity_value	range_of_slot	angstrom	atmosphere	beats per minute	cardinal direction	centimeter	cm^2)	colony forming units per gram of dry weight	colony forming units per milliliter	cp at degree celsius	cubic centimeter per cubic centimeter	cubic feet	cubic meter	cubic meter per day	cubic meter per minute	cubic meter per second	day	days	degree	degree celsius	degrees	degrees api	dpi	ergs per square centimeter per second	g	gram	gram carbon per kilogram sample material	gram of air	gram per cubic centimeter	gram per cubic meter	gram per gram	gram per kilogram soil	gram per liter	gram per square meter	gram per square meter per day	grams	gray	hour	hours	inch	joule per degree celsius	kilogram	kilogram of air	kilogram per kilogram	kilogram per metre square	kilogram per square meter	kilopascal	kilowatt per square metre	kilowatts per square meter per day	knots	liter	liter per hour	liters per second	lumens per square meter	lux	md	meter	meter per second	meter per square second	microeinstein per square centimeter per second	microeinstein per square meter per second	microgram	microgram per cubic meter	microgram per gram	microgram per liter	microliter	micrometer	micromole oxygen per liter per hour	micromole per kilogram	micromole per liter	millibar	milliequivalent per liter	milligram	milligram chlorophyll a per cubic meter	milligram per cubic meter	milligram per cubic meter per day	milligram per kilogram	milligram per liter	milliliter	millimeter	millimeter mercury	millimeter per year	millisiemens per centimeter	millivolt	mol m-2 s-1	mol per liter per hour	mole per liter	mole per liter per hour	nanogram per liter	nanometer	number of cells per gram (or ml	number of photons per second per unit area	part per million	parts per billion	parts per million	per day	per month	per week	percent	percentage	pound	practical salinity unit	rad	square centimeter	square feet	square meter	ton	volts	weeks	year	years	FWD:{ambiguous_nucleotides};REV:{ambiguous_nucleotides}	^({add_recov_methods});{date_time_stamp}$	^({termLabel} \[{termID}\])|{integer}$	^{PMID}|{DOI}|{URL}$	^{PMID}|{DOI}|{URL}|{text}$	^{adapter_A_DNA_sequence};{adapter_B_DNA_sequence}$	^{agrochemical_name};{amount} {unit};{date_time_stamp}$	^{ambiguous_nucleotides}$	^{boolean};(?:adverse event|non-compliance|lost to follow up|other)$	^{duration}$	^{float} *- *{float} {unit}$	^{float} days$	^{integer} {text}$	^{integer} {text}}$	^{integer}%\s*ANI;\s*{integer}%\s*AF;\s*{text}$	^{lat} {lon}$	^{name};{float} {unit}$	^{particulate_matter_name};{float} {unit}$	^{room_name};{room_number}$	^{scientific_float}( *- *{scientific_float})? *{text}$	^{software};{version};{parameters}$	^{termLabel} \[{termID}\]$	^{text} \[{NCBItaxon_id}\]$	^{text}: {text}, {text}$	^{text}|({termLabel} \[{termID}\])$	^{text}|{PMID}|{DOI}|{URL}$	acid	act	activ	add	admin	age	air	al	alkalinity	am	amp	animal	annual	antibiotic	appr	area	assembly	avg	bac	bin	biocide	biol	biomass	biotic	blood	body	build	built	carb	ceil	check	chem	class	clean	climate	collect	color	comp	compl	cond	condt	cons	cont	contact	contam	content	cool	count	cover	crop	cult	cur	data	date	db	deliv	dem	density	depth	device	dew	diet	dioxide	dis	disease	disord	diss	dna	door	dur	env	environment	equip	event	exp	ext	extr	fam	farm	feat	ferm	fertilizer	finish	floor	fluid	food	frac	freq	frict	fw	gaseous	genome	geo	geol	growth	hcr	health	heat	heavy	height	hist	horizon	host	humidity	id	ident	inc	indoor	info	infra	inorg	intended	iron	isol	kit	label	land	last	lib	life	light	link	lithology	loc	local	location	lysis	mass	mat	matter	mean	med	media	medium	metal	metals	meth	method	microb	mode	moisture	mold	month	name	nitro	nose	nucl	num	number	nutr	occup	of	org	orient	otu	out	oxy	oxygen	pH	pack	param	part	particles	pc	pcr	percent	ph	phosp	phosphate	photosynt	plant	point	porosity	pos	precpt	pred	prep	preserv	press	pressure	primary	proc	prod	product	qual	quality	rate	recover	ref	regm	rel	rep	result	room	root	route	salinity	samp	san	sat	sc	scale	score	screen	season	seq	sequencing	serovar	sex	shading	share	shared	site	six	size	slope	software	soil	soluble	sort	source	space	spec	specific	spikein	sr	stage	start	stat	state	status	stor	store	struc	study	subspecf	sulfate	surf	suspend	symbiont	syst	target	tax	taxid	tech	temp	texture	thermal	throat	time	tot	train	transmission	transport	trav	treat	treatment	tvdss	typ	type	urogenit	use	vegetation	vel	ventilation	vfa	vol	wall	water	weather	well	wga	wind	window	x16s	evidence_score	weighted_evidence_score
shading_device_loc	True		3	False	ShadingDeviceLocEnum																																																																																																																																																																																																				True																																																																True																																																																																						True																																																																		-4	-1.3333333333333333
shading_device_mat	False		3	False	string																																																																																																																																																																																																				True																																																																					True																																																																																	True																																																																		-3	-1.0
shading_device_type	True		3	False	ShadingDeviceTypeEnum																																																																																																																																																																																																				True																																																																																																																																																						True																																																		True																-4	-1.3333333333333333
sieving	False		1	False	string																																																																																																																																																																																																																																																																																																																																																																																																																												0	0.0
silicate	False	True	1	True	string																																																																					True																																																													True																																																																																																																																																																																																																																																																																										3	3.0
sim_search_meth	False		3	False	string																																																																																																																																			True																																																																																																																																														True																																																																																																																																											-2	-0.6666666666666666
size_frac	False		2	False	string																																																																																																																																																																																																																															True																																																																																																																																True																																																													0	0.0
size_frac_low	False	True	3	True	string																																																																		True																																																																True																																																																																													True																																																																																																																																True																																																													3	1.0
size_frac_up	False	True	3	True	string																																																																		True																																																																True																																																																																													True																																																																																																																																True																																																													3	1.0
slope_aspect	False	True	2	True	string																		True																																																																																																																True																																																																																																																																																																																																																														True																																																												4	2.0
slope_gradient	False	True	2	True	string																																																																																																			True																															True																																																																																																																																																																																																																														True																																																												4	2.0
sludge_retent_time	False	True	3	True	string																																						True																																																																																												True																																																																																																																																																																																																																																																																True																										4	1.3333333333333333
smoker	False		1	False	boolean																																																																																																																																																																																																																																																																																																																																																																																																																												0	0.0
sodium	False	True	1	True	string																																																																													True																	True																																				True																																																																																																																																																																																																																																																																																										3	3.0
soil_conductivity	False	True	2	False	string																																																																																		True																																																True																																																																																																																																																																																																																																True																																																										2	1.0
soil_cover	False		2	False	string																																																																																																																																																																																									True																																																																																																																																																																									True																																																										0	0.0
soil_horizon	True		2	False	SoilHorizonEnum																																																																																																																																																																																																																																														True																																																																																																																				True																																																										-2	-1.0
soil_pH	False		2	False	float																																																																																																																																																																																																																																																																																																							True																																																											True																																																										-1	-0.5
soil_porosity	False	True	2	False	string																																																																																																			True																																																																																																																																																																																																																		True																																													True																																																										2	1.0
soil_temp	False	True	2	False	string																			True																																																																																																															True																																																																																																																																																																																																																																True																												True																														3	1.5
soil_texture	False		2	False	string																																																																																																																																		True																																																																																																																																																																																																																																True																													True																													0	0.0
soil_texture_class	True		3	False	SoilTextureClassEnum																																																																																																																																																																									True																																																																																																																																																																																									True																													True																													-3	-1.0
soil_texture_meth	False		3	False	string																																																																																																																		True																																																																																																																																																															True																																																																																	True																													True																													-3	-1.0
soil_type	False		2	False	string																																																																																																																																																																																																																																																																																																																																																																		True																																										True																-1	-0.5
soil_type_meth	False		3	False	string																																																																																																																		True																																																																																																																																																															True																																																																																	True																																										True																-3	-1.0
solar_irradiance	False	True	2	True	string																							True																									True																																																																																		True																																																																																																																																																																																																																																																																																										3	1.5
soluble_inorg_mat	False	True	3	False	string																									True							True																													True																									True								True																																																																																																																																																									True																		True																																																																																										True																																																									0	0.0
soluble_org_mat	False	True	3	False	string																									True							True																													True																									True								True																																																																																																																																																																											True																								True																																																																		True																																																									0	0.0
soluble_react_phosp	False	True	3	True	string																																																																					True								True																	True																																				True																																																																																																																																																																														True																																																			True																																																									3	1.0
sop	False		1	False	string																																																																																																																		True																																																																																																																																																																																																																																																																																																										-1	-1.0
sort_tech	True		2	False	SortTechEnum																																																																																																																																																																																																																																																																																																																																																																				True																									True																															-3	-1.5
source_mat_id	False		3	False	string																																																																																																																																																																																																																																																	True																								True																																																																																												True																																																							-2	-0.6666666666666666
source_uvig	False		2	False	string																																																																																																																																																																																																																																																																																																																																																																					True																																																							0	0.0
space_typ_state	True		3	False	SpaceTypStateEnum																																																																																																																																																																																																																																																																																																																																																																						True								True																													True																	-2	-0.6666666666666666
spec_intended_cons	False		3	False	string																																																																																																																																				True																																														True																																																																						True																																																																																																															True																																																					-3	-1.0
special_diet	False		2	False	string																																																																																																																																																																																																						True																																																																																																																																																																																																																						-1	-0.5
specific	True		1	False	SpecificEnum																																																																																																																																																																																																																																																																																																																																																																								True																																																				-1	-1.0
specific_host	False		2	False	string																																																																																																																																																																																																																																															True																																																																																																																									True																																																				0	0.0
specific_humidity	False	True	2	True	string																											True															True																																																																																								True																																																																																																														True																																																																																																																								True																																																				4	2.0
spikein_AMR	False		2	False	string																																																																																																																																																																																																																																																																																																																																																																									True																																																			-1	-0.5
spikein_antibiotic	False		2	False	string																																																																																																																																																						True																																																																																																																																																																																																																			True																																																			-1	-0.5
spikein_count	False	True	2	False	string							True	True																																																																																																																																																																																True																																																																																																																																																																																	True																																																			0	0.0
spikein_growth_med	False		3	False	string																																																																																																																																							True																																																																																																True																																					True																																																																																													True																																																			-4	-1.3333333333333333
spikein_metal	False		2	False	string																																																																																																																																																																																																																																																																															True																																																																																										True																																																			-1	-0.5
spikein_org	False		2	False	string																																																																																																																	True																																																																																																																																																																																True																																																																								True																																																			-2	-1.0
spikein_serovar	False		2	False	string																																																																																																																																																																																																																																																																																																																																																								True																	True																																																			-2	-1.0
spikein_strain	False		2	False	string																																																																																																																																																																																																																																																																																																																																																																									True																																																			-1	-0.5
sr_dep_env	True		3	False	SrDepEnvEnum																																																																																																																																																																																																															True																																																																																																																																																											True																																																		-2	-0.6666666666666666
sr_geol_age	True		3	False	GeolAgeEnum																																																																																																																																														True																																																																																								True																																																																																																																																				True																																																		0	0.0
sr_kerog_type	True		3	False	SrKerogTypeEnum																																																																																																																																																																																																																																																																																																																																																																										True																																		True																-2	-0.6666666666666666
sr_lithology	True		2	False	SrLithologyEnum																																																																																																																																																																																																																																																																			True																																																																																																							True																																																		-2	-1.0
standing_water_regm	False		3	False	string																																																																																																																																																																																																																																																																																																																																						True																																																																															True							-1	-0.3333333333333333
ster_meth_samp_room	False		4	False	string																																																																																																																																																																																																																																																																																	True																																																									True				True																																																																														-1	-0.25
store_cond	False		2	False	string																																																																																																																																																																																True																																																																																																																																																																																																	True																																											-1	-0.5
study_complt_stat	False		3	False	string																																																																																																																							True																																																																																																																																																																																																																																																						True						True																																									-2	-0.6666666666666666
study_design	False		2	False	string																																																																																																																																																																																																																																																																																																																																																																																			True																																									0	0.0
study_inc_dur	False	True	3	False	string																	True																					True																																																																																		True																																																																																						True																																					True																																																																																																																																True																																									3	1.0
study_inc_temp	False	True	3	False	string																			True																																																																																																															True																																																																																																																	True																																																																																																																																True											True																														3	1.0
study_timecourse	False	True	2	False	string																						True																																																																																																												True																																																																																																																																																																																																																																																	True																																									2	1.0
study_tmnt	False		2	False	string																																																																																																																																																																																																																																																																																																																																																																																			True																																									0	0.0
subspecf_gen_lin	False		3	False	string																																																																																																																																																																																																																																																																																																																																																																																				True																																								-1	-0.3333333333333333
substructure_type	True		2	False	SubstructureTypeEnum																																																																																																																																																																																																																																																																																																																																																																																																												True																-2	-1.0
sulfate	False	True	1	True	string																																																																					True								True																	True																																				True																																																																																																																																																																																																																																																			True																																							3	3.0
sulfate_fw	False	True	2	True	string																																																																													True																																																					True																																																																																																True																																																																																																																																																			True																																							3	1.5
sulfide	False	True	1	True	string																																																																					True								True																	True																																				True																																																																																																																																																																																																																																																																																										3	3.0
surf_air_cont	True		3	False	SurfAirContEnum																																																																																																																																															True																																				True																																																																																																																																																																																																			True																																						-1	-0.3333333333333333
surf_humidity	False	True	2	True	float																																																																																																			True																															True																																																																																																														True																																																																																																																																						True																																						4	2.0
surf_material	True		2	False	SurfMaterialEnum																																																																																																																																																																																																																																																																																																																																																																																						True																																						-1	-0.5
surf_moisture	False	True	2	True	string																													True				True																																																													True																																				True																																																																																																																																																			True																																																																																																	True																																						3	1.5
surf_moisture_ph	False		3	False	float																																																																																																																																																																																																																																																																																					True																										True																																																																							True																																						-1	-0.3333333333333333
surf_temp	False	True	2	True	string																			True																																																																																																															True																																																																																																																																																																																																																																																				True								True																														4	2.0
suspend_part_matter	False	True	3	True	string																																																																													True																																																					True																																																																																																																																								True																																True																																																																													True																																					2	0.6666666666666666
suspend_solids	False	True	2	False	string																									True							True																													True																True									True						True																																																																																																																																																																																																																																																																																											True																																					1	0.5
sym_life_cycle_type	True		4	False	SymLifeCycleTypeEnum																																																																																																																																																																																																																																																																True																																																																																																																																												True																-3	-0.75
symbiont_host_role	True		3	False	SymbiontHostRoleEnum																																																																																																																																																																																																																																															True																																																																																																																																									True																																				-1	-0.3333333333333333
tan	False	True	1	True	string																																																																													True																																																					True																																																																																																																																																																																																																																																																																										3	3.0
target_gene	False		2	False	string																																																																																																																																																																																																																																																																																																																																																																																										True																																		-1	-0.5
target_subfragment	False		2	False	string																																																																																																																																																																																																																																																																																																																																																																																										True																																		-1	-0.5
tax_class	False		2	False	string																																																																																																																																																																									True																																																																																																																																																																																																																		True																																	-2	-1.0
tax_ident	True		2	False	TaxIdentEnum																																																																																																																																																																																																																																																		True																																																																																																																																									True																																	-3	-1.5
temp	False	True	1	True	string																			True																																																																																																															True																																																																																																																																																																																																																																																												True																														4	4.0
temp_out	False	True	2	True	string																			True																																																																																																															True																																																																																																																																																																		True																																																																																										True																														4	2.0
tertiary_treatment	False		2	False	string																																																																																																																																																																																																																																																																																																																																																																																																									True																			-1	-0.5
tidal_stage	True		2	False	TidalStageEnum																																																																																																																																																																																																																																																																																																																																																																											True																																																	-2	-1.0
tillage	True		1	False	TillageEnum																																																																																																																																																																																																																																																																																																																																																																																																																												-1	-1.0
time_last_toothbrush	False		3	False	string																																																																																																																								True																																																																																																																																						True																																																																																																																																				True																										2	0.6666666666666666
time_since_last_wash	False		4	False	string																																																																																																																								True																																																																																																																																						True																																																																																																																																				True																										2	0.5
timepoint	False	True	1	False	string																	True																					True																																																																																		True																																																																																																																																																																																																																																																																																																				2	2.0
tiss_cult_growth_med	False		4	False	string																																																																																																																			True																																																																								True																																												True																																					True																																																																																																																																																-3	-0.75
toluene	False	True	1	True	string																																																																													True																	True																																				True																																																																																																																																																																																																																																																																																										3	3.0
tot_carb	False		2	True	string																																																																																																																																		True																																			True																																																																																																																																																																																																																														True																									3	1.5
tot_depth_water_col	False	True	4	True	string																																																								True																																																																										True																																																																	True																																																																																																																																																																																																True																		True							5	1.25
tot_diss_nitro	False	True	3	True	string																																																																True																																																																		True																																																																									True																																																																														True																																																																																																										True																									5	1.6666666666666667
tot_inorg_nitro	False	True	3	True	string																																																																True																																																																		True																																																																																																																					True																																		True																																																																																																										True																									4	1.3333333333333333
tot_iron	False	True	2	True	string																																																																												True	True																																																					True																																																																																																																							True																																																																																																																																										True																									5	2.5
tot_nitro	False	True	2	True	string																																																																True					True								True																																																					True																																																																																																																																																							True																																																																																																										True																									4	2.0
