unit_name,total_count,cs_code,followup,confidence
per dime to the 13 dime,1,,,low
unk to the 8 minute of arc,1,,,low
per metre to the 2000 metre,1,,,low
pint dime per farad to the 4,1,,,low
watt per south african rand to the 5,1,,,low
centimetre to the 81,1,,,low
inch stere year per roentgen to the 6,1,,,low
centilitre to the 6,1,,,low
unk to the 23,1,,,low
hour to the 17 metre,1,,,low
watt second litre,1,,,low
hour to the 16 second,1,,,low
newton litre litre to the 4,1,,,low
milligram degree Celsius per gram,1,,,low
ampere pound-mass year newton,1,,,low
cubic year dime,1,,,low
year litre,1,,,low
horsepower farad to the 13,1,,,low
centimetre to the 28,1,,,low
per cubic watt,1,,,low
foot litre to the 7,1,,,low
centimetre to the 153,1,,,low
centimetre to the 163,1,,,low
milligram ampere-hour inch gigayear,1,,,low
siemens centavo hectare atomic mass unit,1,,,low
atomic mass unit newton gram,1,,,low
centimetre to the 134,1,,,low
centilitre to the 10,1,,,low
month to the 14,1,,,low
hectometre litre to the 4,1,,,low
bushel pound-mass,1,,,low
centimetre to the 96,1,,,low
unk to the 43 inch newton,1,,,low
farad per exabit to the 2017,1,,,low
ampere-turn mill,1,,,low
square unk foot,1,,,low
year per year,1,,,low
centimetre to the 35,1,,,low
month to the 16 day,1,,,low
unk to the 10340 minute of arc,1,,,low
cubic centimetre per minute to the 4,1,,,low
centimetre to the 63,1,,,low
per year to the 17,1,,,low
centimetre to the 31,1,,,low
square year dime,1,,,low
centimetre to the 148,1,,,low
unk to the 43 foot,1,,,low
pint dime per square farad,1,,,low
centimetre to the 78,1,,,low
horsepower farad to the 20,1,,,low
square hectolitre,1,,,low
bar calorie year,1,,,low
unk to the 9 inch siemens,1,,,low
unk to the 45 minute of arc minute of arc siemens,1,,,low
gauss litre,1,,,low
unk to the 8 unk to the 43,1,,,low
kiloton,1,,,low
atomic mass unit megaampere volt-ampere,1,,,low
megayear nanoampere atomic mass unit second,1,,,low
unk to the 48 unk to the 14 second of arc newton,1,,,low
centimetre to the 50,1,,,low
unk to the 29 foot,1,,,low
centimetre to the 155,1,,,low
henry watt year to the 99,1,,,low
centimetre to the 121,1,,,low
centimetre to the 37,1,,,low
centimetre to the 136,1,,,low
mile degree fahrenheit candela,1,,,low
foot cubic litre,1,,,low
unk to the 27 foot,1,,,low
horsepower farad to the 9,1,,,low
per year to the 10,1,,,low
inch stere year per roentgen to the 5,1,,,low
unk to the 26 foot foot,1,,,low
per centimetre to the 30 centimetre,1,,,low
cubic week hour,1,,,low
cent metre,1,,,low
centimetre to the 142,1,,,low
litre litre to the 6,1,,,low
pint dime per farad to the 7,1,,,low
month to the 13,1,,,low
centimetre to the 62,1,,,low
month to the 20,1,,,low
litre litre to the 7,1,,,low
unk to the 48 second of arc newton,1,,,low
degree Celsius hectolitre to the 9,1,,,low
minute of arc newton to the 10127,1,,,low
petaampere kibibyte,1,,,low
centimetre to the 42,1,,,low
month to the 23,1,,,low
calorie farad,1,,,low
per hour to the 8 per hour to the 12 per hour to the 16 hour,1,,,low
watt per south african rand to the 14,1,,,low
volt hectolitre,1,,,low
siemens attoampere per roentgen,1,,,low
watt per south african rand to the 47,1,,,low
dime pint pint pint,1,,,low
kilometre metre newton,1,,,low
metre maxwell to the 4 millimetre,1,,,low
centimetre to the 119,1,,,low
year to the 5 metre to the 15 dime,1,,,low
centimetre to the 172,1,,,low
year to the 21,1,,,low
attobarn gauss,1,,,low
centimetre to the 41,1,,,low
unk foot foot siemens,1,,,low
siemens year candela per square metre,1,,,low
hour to the 4 second,1,,,low
week centavo to the 57,1,,,low
centimetre to the 154,1,,,low
unk to the 17 minute of arc,1,,,low
centimetre to the 164,1,,,low
dime to the 60 kilometre,1,,,low
centimetre to the 104,1,,,low
south african rand inch,1,,,low
centimetre to the 107,1,,,low
unk to the 20 inch watt,1,,,low
per month to the 8,1,,,low
dime oersted litre,1,,,low
centimetre to the 120,1,,,low
centimetre to the 166,1,,,low
centimetre to the 149,1,,,low
siemens year south african rand ampere-turn,1,,,low
centimetre to the 110,1,,,low
centimetre to the 99,1,,,low
per year to the 34,1,,,low
watt per south african rand to the 222,1,,,low
centimetre to the 139,1,,,low
year second litre,1,,,low
centimetre to the 94,1,,,low
unk to the 51 minute of arc,1,,,low
centimetre to the 57,1,,,low
dozen,1,,,low
centimetre to the 124,1,,,low
unk minute of arc minute of arc newton,1,,,low
centimetre to the 174,1,,,low
league swiss franc,1,,,low
volt-ampere second exayear,1,,,low
newton cubic hectolitre,1,,,low
statcoulomb stokes,1,,,low
centimetre to the 76,1,,,low
centimetre to the 88,1,,,low
centimetre to the 73,1,,,low
unk to the 28,1,,,low
centimetre to the 90,1,,,low
centimetre to the 56,1,,,low
horsepower farad to the 14,1,,,low
unk to the 48 foot,1,,,low
hour to the 12 second,1,,,low
megayear per year to the 2011,1,,,low
megayear south african rand to the 21,1,,,low
hour to the 17 second,1,,,low
unk to the 9 second of arc siemens,1,,,low
per farad per exawatt,1,,,low
year to the 6 metre to the 24 dime,1,,,low
centimetre to the 168,1,,,low
unk to the 12 minute of arc,1,,,low
square unk inch newton,1,,,low
siemens to the 24,1,,,low
cubic centimetre metre to the 280,1,,,low
per year to the 25,1,,,low
unk to the 14 foot foot siemens,1,,,low
per metre to the 850 metre,1,,,low
unk to the 50 unk to the 34,1,,,low
year henry,1,,,low
centilitre to the 8,1,,,low
per week to the 14,1,,,low
week to the 5 hour,1,,,low
attowatt tesla,1,,,low
centimetre to the 130,1,,,low
square unk minute of arc,1,,,low
centimetre to the 167,1,,,low
foot newton to the 10123,1,,,low
per week to the 11,1,,,low
kilometre per rutherford per watt,1,,,low
per week to the 12,1,,,low
pint dime per cubic farad,1,,,low
teraampere year,1,,,low
siemens joule litre to the 5,1,,,low
per metre to the 197,1,,,low
per month to the 5,1,,,low
square week hour,1,,,low
centimetre to the 101,1,,,low
per kilogram,1,,,low
year exayear tonne second,1,,,low
degree angle to the 54 minute of arc,1,,,low
year bit,1,,,low
ampere-turn swiss franc to the 100,1,,,low
unk to the 48 foot foot siemens,1,,,low
per month to the 7,1,,,low
unk to the 49,1,,,low
astronomical unit per gram to the 2012,1,,,low
pint dime per farad,1,,,low
gram to the 14,1,,,low
per byte,1,,,low
ampere pint per south african rand to the 2020,1,,,low
centimetre to the 53,1,,,low
unk to the 15 minute of arc,1,,,low
hectometre per tesla metre,1,,,low
per year to the 14,1,,,low
pint dime per farad to the 8,1,,,low
litre year newton dime,1,,,low
centavo kibibyte,1,,,low
hour to the 8 second,1,,,low
horsepower cubic farad,1,,,low
watt per south african rand to the 223,1,,,low
unk to the 9 minute of arc minute of arc newton,1,,,low
unk to the 53 second of arc siemens,1,,,low
horsepower farad to the 19,1,,,low
year year nanoampere megaampere,1,,,low
horsepower farad to the 18,1,,,low
siemens attoampere per south african rand,1,,,low
centimetre to the 86,1,,,low
centimetre to the 69,1,,,low
megapixel,1,,,low
centimetre to the 151,1,,,low
unk to the 59,1,,,low
centimetre to the 29,1,,,low
day henry,1,,,low
week to the 4 hour,1,,,low
cubic centimetre litre,1,,,low
per year to the 24,1,,,low
year to the 4 dime,1,,,low
foot litre to the 11,1,,,low
hartree millimetre acre kibibyte,1,,,low
byte to the 2750,1,,,low
unk to the 49 second of arc newton,1,,,low
unk to the 18,1,,,low
centimetre to the 169,1,,,low
year newton cubic litre,1,,,low
per unk to the 16 degree Celsius,1,,,low
volt metre,1,,,low
dime day,1,,,low
exawatt per kilogram per watt,1,,,low
per metre to the 150 metre,1,,,low
per year to the 29,1,,,low
petayear,1,,,low
per byte to the 111,1,,,low
centimetre to the 162,1,,,low
centimetre to the 85,1,,,low
speed of light ell,1,,,low
kilometre nanoampere,1,,,low
hour to the 33 metre,1,,,low
unk to the 58 second of arc newton,1,,,low
centavo square kibibyte,1,,,low
minute of arc roentgen year kibibyte,1,,,low
year exayear tonne,1,,,low
bushel dime second,1,,,low
centimetre to the 152,1,,,low
unk to the 53 foot foot newton,1,,,low
degree Celsius hectolitre to the 7,1,,,low
unk to the 58 second siemens,1,,,low
watt tesla,1,,,low
foot litre to the 5,1,,,low
watt to the 4,1,,,low
degree angle to the 50 minute of arc,1,,,low
